name	stars	title	content
Mary D.	5	Very nice lip treatment.	Very nice lip treatment.
Lynn R.	5	Nice little lip saver	This is a nice compact lip balm that smells wonderful. Love the colored lipsticks too!
Linda K.	5	A new day	I finally have lipsticks that don’t bleed, disappear or get dry. I bought the Strong Women’s set. I now have the moisture I need with a light, colorful lipstick that doesn’t age me. Great product! I will buy more shades.
Nikki N.	5	Beautiful!	Great color and I love the name :)
Colleen B.	5	The best!!!	Supports a great cause! Wonderful color and very very smooth and rich!
Karen H.	5	I purchased this lipstick because	I purchased this lipstick because I had a stroke at the age of 47. Love the donations to worthy causes while getting a great product. Love the formula!
Colleen B.	5	The best!!!	Supports a great cause! Wonderful color and very very smooth and rich!
Karen H.	5	I purchased this lipstick because	I purchased this lipstick because I had a stroke at the age of 47. Love the donations to worthy causes while getting a great product. Love the formula!
Sharon P.	5	Perfect	Great color, great consistancy. Stays on!
Melissa F.	5	Took a gamble and won!	All three lipsticks delivered! Beautiful, creamy- and doesn’t bleed all over my lower face! I have also gotten compliments on the colors. At first glance, the colors all look very similar, but are all unique when on my lips. I am very, very pleased. And the packaging appeals to the girl in me.
Jane M.	5	Love the lipstick!	Nice colors
Monique D.	5	Love the colors	Great lipsticks, quality and colors are great!
Glenda M.	5	Lip Smacking Good	Love the shade and the staying power.
Anna T.	5	Love them all!!	Colors are gorgeous and love the creamy texture of the lipsticks. No bleeding as advertised and even after hours of wear, my lips are not dry. I've ordered just about every color!
Arlene B.	5	Dragon Fruit	The color is sort of purplish but pretty. I love how soft and luscious that it makes my lips feel. I will definitely try some other colors. So glad that I bought this.
Patricia R.	5	Jazzy Lip Colors	I really like the Glam Pack which includes lip colors Rose Gold, Confident and Irresistible---three beautiful colors that go on smoothly and stay on much longer than other lipsticks I've purchased from department stores, etc... Will definitely order these colors again and more colors in the very near future. Thanks a million!!!
Monique D.	5	Love the colors	Great lipsticks, quality and colors are great!
Glenda M.	5	Lip Smacking Good	Love the shade and the staying power.
Dale K.	5	Love all the shades I	Love all the shades I got, I now have 5 of them, and will be adding, they really stay on, nice not to be reapplying every few minutes like I usually do
Monica B.	5	Love them	This curated set is just right for this pale brunette who doesn’t usually wear make-up.
Linda P.	5	I just love ❤️ it	I just love ❤️ it sooo... much! I get a little leery ordering without being able to sample the color but I took a chance and it was perfect!! Thank you!! Have a great day! 🥰
Connie W.	5	Great product!	Great product!
Linda L.	5	Very nice color. Thank you	Very nice color. Thank you
Gail W.	5	Fabulous in every way	The feel of this lipstick and how nicely it goes on is fantastic. I absolutely love the color. It has been a color I have been looking for and not finding, and now I have it. I love this lipstick.
Joanne H.	5	Great product!!!	Great product!!!
Lois L.	5	Beautiful ❤️	So luxurious, beautiful color, goes on so soft and easy. Makes my lips really soft. Nice shine while looking natural.
Gay K.	5	Beautiful colors	I love that these lipstick look natural and aren’t shocking looking. I like that on days I don’t want to wear makeup but only lipstick. These lipsticks are so moisturizing and not like you are wearing anything on your lips. They blend so well.
Terri J.	5	Would probably go a shade	Would probably go a shade darker next time, but love how it goes on!
Sharon B.	5	A truly wonderful lipstick	This is a great lipstick at a fantastic price. The fact that a donation goes to such wonderful causes is just icing on the cake. I am recommending this lipstick to every woman I know.
Tammie D.	5	Love it!	This is the best lipstick ever! Stays on, doesn't bleed. I love that each shade supports a different cause. I'm a customer for life! Thank you Color the World!!
Andrea A.	5	Great Color	I love the causes behind these lipsticks. The color is great for me - rosy for an older lady,
Mary E.	5	Love the lip treatment and	Love the lip treatment and the lipstick !!!!
Angela S.	5	Nice lipstick	This is my go to. The feel is very lubricating and the pigment is much more vibrant than I expected for natural ingredients.
Gail P.	5	pretty color	pretty color
Carol G.	5	Very nice product	The first time I've ordered and really like the lipstick. And the tube itself is awesome, Will order again.
Karen S.	5	Smells great	I like the smell and I like the way it moisturizes my lips.
Jenny R.	5	Wonderful!	Great colors that are not drying or sticky!
Cheryl M.	5	Really love the lipstick. Does	Really love the lipstick. Does just what it claims to do!
Sue T.	5	The strong women pack	I love the lipsticks, they are creamy and don't bleed. My only complaint is the colors in this pack are very close in color. The picture made them look different from what I actually got, but I do like them.
Shari C.	5	Fabulous color...my favorite! Feels great!	Fabulous color...my favorite! Feels great!
Mary G.	5	Fabulous colors and smoothness-even young	Fabulous colors and smoothness-even young teen grands love it!!!!!
Kathleen S.	5	Very nice lipstick. The color	Very nice lipstick. The color is perfect rise. The lipstick is moist. It helps prevent crack chapped lips.
Gleita E.	5	Flawless - perfect name for lip color and the cause	I live in Arizona so this color is great for year-round wear plus it makes the lips feel great and the color blends with so many outfits regardless of the season. (when using it I must remember not to have "foundation" on my hands so that I can keep the outer cute tube fresh and pretty.
Lisa K.	5	Best lipstick ever	Love very pleased
Deborah R.	5	Perfect color for daily wear	I recently fell in love with Color the World lipsticks. They are moisturizing and long lasting and I love the idea that a portion of each purchase is contributed to different organizations. Huntress is the perfect neutral color for me...not too light, not too dark. I have been searching for a natural looking shade for years and now I have found it. Love it!
HB	5	Love these lipsticks!	So happy I purchased this trio of lipsticks! They feel good on my lips and layer nicely too! am going to purchase the trio of neutrals next!
Carol D.	5	Best New Lipstick	Really liked this lipstick, it stays on and does not feather on your lips, which is a big plus. The color was spot on and I received several compliments on the pretty color.
Patty E.	5	No bleed, AMAZING!!!	If you ask my kids they'll tell you, you'll very rarely see me without lipstick! However, as I'm aging it's been so frustrating that all my lipsticks bleed. I've used lip scrub, clear lip liner to go around the edges and more but nothings worked . . . until now! I still use lip liner (habit) but I LOVE THIS LIPSTICK!!! NO BLEED AND BEAUTIFUL COMPLEMENTARY COLORS to my every outfit!! Worth every $$$$$$$
Karen W.	5	Very good	Feels good, looks good
Carole C.	5	Tickle your fancy...	Tickled Pink lipstick is purrrfect for that bright sexy look. The semi-matte finish  does not run into the fine ageing lines around my lips. CC
Lisa R.	5	Love this color!	Speechless is a wonderful true flattering red. It was brighter than I had expected, thinking that the vegetable base wouldn't hold a bright color. I was so wrong!!--and it doesn't bleed into any lines around your lips! I also love the charity this color supports!! Win/win!
Elena R.	5	No more feathering!	These lipsticks absolutely do no feather. I have a huge problem with this with all other lipsticks. I have five different colors now, and I will never use any other kind of lipstick.
Irene A.	5	I received my lipstick and	I received my lipstick and I just love love the color and the way it feels..also feels great in my heart that I'm also helping others..thank u again Going to order some more really soon.
Colleen D.	5	Foxy - 'Alzheimer's Awareness'	Awesome color -- looks great for summer and will look perfect for the fall!!! Goes really well with my very fair skin and very grey hair!!! (And no, I am only in my early 60's)!!!
Cheryl R.	5	Heartfelt	Heartfelt is a 'soft' red which is perfect for those of us with light grey, blond or white hair. Not a 'blue red', it makes my face glow.
Pam H.	5	Review on my Heartfelt lipstick	I am VERY pleased! The lipstick goes on smooth, does not "bleed" and looks very good. I also really like the cute tube and design; I always felt bad about throwing away previous expensive lipstick tubes, thinking, "why don't they recycle?" I will promote your product to my friends and assure them it is a good product. Love the uniqueness of your donating to worthy causes with purchases, as well.
Karen L.	5	Nice subtle red	I like this red for when I don't want a lipstick that stands out. It brightens my lips, and makes them redder, but without calling to attention that I'm wearing lipstick.
Suzanne D.	5	Great summer color!	Creamy and bright (but not too bright), Foxy is my new favorite! Definitely perfect for the summer!
Carolyn A.	5	Goddess	The color is a burgundy blue/red which is very pretty and exactly what I was looking for! I love that these lipsticks stay only on the lips!!
Bette N.	5	For my bright days	Gives me a lift just to see how bright my face looks
Gail G.	5	Love This Lipstick	This lipstick is such a beautiful shade. It's creamy and long lasting. I also love how the product is packaged. I bought four different shades and this is one of my favorites for sure.
Karen L.	5	Love the color	The perfect red - not too bright, not too dark, just a little blue (but not a plum).
Gloria B.	5	Wonderful Lipsticks!	I'm so glad I discovered these lipsticks! Great colors. Long lasting. Easily applied. Environmentally-friendly containers. Quick shipping. Thank you!
Jane C.	5	Sunset	Creamy, clear color, feels good
Arthur D.	5	Rose Gold - A Favorite	This is (so far my favorite color from CTW.  I have rosy cheeks and red hair and it is a complementary color for me. This one is a bit deeper colored than the other summer warm pinks I am wearing, so I tend to use it for evening (not fancy, just shows up in the lesser artificial lights). I expect I will use it in the daytime once autumn comes.  It may have a light metallic element, but that just gives it a soft highlighted effect.  Definitely Recommended.
Marilyn M.	5	Nice to support a worthy	Nice to support a worthy charity while beautifying my aging lips 👄!!
Mary C.	5	Empowered	This is a good lipstick,love it,
Susan D.	5	Love it	I really love this lipstick. I’m 72 and too many lip products just don’t work well for me. This one is great
Amelia M.	5	Great lipsticks!	Great lipsticks!
Leslie S.	5	Long Lasting	The color goes with everything and lasts hours longer than any lipstick I’ve used in the past.
Kathy M.	5	Wonderful!	Creamy and long lasting
Carol A.	5	Gorgeous, Flattering and Luscious	I couldn't be happier with my first Color The World lipstick in Empowered. I love its emollient formula which is very flattering and makes my teeth look especially white. I'm awaiting my second order now in another color. I've FINALLY found the right lipstick palette for my skin tone at age 74. Thank you and keep up your good works.
Lorraine M.	5	Best lipstick ever!!	This lipstick is by far the best I ever purchased. Colors are great, do not feather, & last at least 6 hours. I am so very happy I found it, plus the nice people give to a very worthy cause. Love it!!
Elena P.	5	A good cause	I bought this lipstick because depression had affected my family personally, and anything that helps research into the cause and therapeutic approaches is a great thing as far as I’m concerned.  You support a lot of great humane causes, and your lipstick quality is excellent. I also like that beauty can and should be cruelty free.  Keep up the good work!
Janet H.	5	Glamorous!	This is a perfect name for this glamorous color and just right for a night on the town. It can be worn for daytime as well, but I really like it for dressing up my look for going out. It also works well as a base when blending other colors.
Dawn H.	5	I love your lipstick!	I love your lipstick!
Carol r.	5	This is my first purchase	This is my first purchase of the Rose Gold and was pleased with the gold shimmer/shine and same creamy texture as the other lipsticks.
Susan P.	5	Love this lipstick!	Great colors and no feathering!
Hannah W.	5	Love this lipstick	One of the biggest things for me with darker lipstick is “graceful degradation”, i.e. do I end up with a weird ring around my lips or does it wear off evenly enough to get away with it? This looks great on and wears off in a not awkward way. Love it.
Sally T.	5	Lovin’ It	This lipstick is very neutral and perfect for those days when you want just a bit of “zing” to pep up your overall look. As ever, this lipstick does not feather (wow factor) or fade after hours of wear. Love the texture. I am buying these lipsticks for all my friends and family!
Jeanette M.	5	Empowered!	Wonderful
Karen L.	5	Very Happy with Wildflower	This color is amazing. It looks great with my skin tone.
Monica C.	5	Great lipstick	I left a review for Wild Flower. Feeling the same about Cashmere and Mint to Be! Happy and will continue to purchase from Color the World. Thank you for a fabulous product!
Karalee M.	5	Moisturizing. Beautiful colors.	Moisturizing. Beautiful colors.
Julie H.	5	A little bit orange, a little bit of pink	I love the color, a little orange color mixed with pink. Lipstick is in a lovely tube, goes on smoothly and keeps your lips moisturized. A good purchase...and I have “older” lips!
Carol r.	5	Empowered is so far my	Empowered is so far my favorite color. It is a great everyday color.
Debbie C.	5	Empowered	Love the color and texture of this lipstick. Goes on smooth color last and my lips feel so kissable. Wish I would have found this years ago.
Linda B.	5	Pretty N' Pink great lipstick!	The color is saturated and gives a very pretty sheen.
Dorothy S.	5	Beautiful color, goes with most everything.	As with the other two lipsticks I purchased, I love the way it feels on. No feathering, just lovely lipstick.
Kathryn S.	5	Sunset	I love al these lipsticks! I have very dry skin and lips and these are creamy and moist. This color is a bit bright but not too much so. It's a happy color! Try it
Jaki K.	5	Wonderful color!	I love the color and the moisture! I plan on buying many more!
Jan E.	5	Rose Petal	This is a beautiful color but a little darker than I wanted. I will mix it with another color that I have and hopefully get the perfect color for me. It feels very creamy and the color lasts a long time.
Linda M.	5	Love it!	This is an excellent choice of lipstick. It is a wonderful neutral shade for my medium complexion. It moisturizes, does not feather and glides on beautifully.
Paige T.	5	The BEST lipsticks	I can’t endorse these enough. The colors are great with ingredients I like and they support causes I really believe in too. I’ll buy again !
Belinda M.	5	Great color	Great color
Cathy W.	5	Wonderful lipstick!	Super moisturizing and color lasts all day! Love this neutral color!!
Colleen D.	5	Foxy - 'Alzheimer's Awareness'	Love this color -- looks great with all of my shades of pink and reds!!! (Red is my favorite color -- it provides just enough color, and hints at more!) This is the first lip color that I have worn that my husband looked at me and said you look great with make-up; and all I had on was this lip color, nothing else!!! I think I better go back and buy out the stock!!!!
Margie S.	5	Lovin this color	I can't ever seen to find a lipstick that I really like. The color isn't what I thought it would be, doesn't stay on good, or something. But my new Empowered by Color the World is fantastic! I love the color, and it goes on so nice! This is my new favorite and I will definitely by buying again!
Jodi P.	5	Great and Wonderful Product	I had purchased the Pretty N' Pink and it does not feather and stays on for awhile. It is creamy and the color is fabulous. I highly recommend these lipsticks. They don't feel as if you are really wearing anything, but you are! Love the lipstick. Thank you.
Karen S.	5	Very nice love it	Very nice love it
Debbie P.	5	Wonderful	I love this lipstick. No bleeding onto skin. Color stays on my lips much longer than others. Also the colors are true to pictures. Love the container. Will be buying more.
Marlene M.	5	Love the color	Saw there ad & I looked it over& I thought that I would give it a try. Loved the free shipping & when I received it looked just like the product I ordered. Will be ordering again from this company. Prices are good as well.
Mary K.	5	Empowered	This color is perfect with my skin tone. Very happy with my purchase.
Susan T.	5	Foxy	Really beautiful wearing and feeling lipstick! My only critique is I wish there was a Little bit more pigment. You have to use quite a bit if you want to achieve color. Maybe it’s this particular color but I still would highly recommend trying this lipstick.
Lily L.	5	bright color	I love the bright color and keep my lips moist.
Lorraine H.	5	Love companies that give back	Love the company, love the lipstick!
Cheryl H.	5	Great Lipstick	Love this color and lipstick, especially how easy it is to apply without bleeding. Plan to buy more and price is so reasonable
Robin F.	5	Nice lipstick	Color looks perfect with nice sparkle. Stays on well. I love the packaging!
Janice T.	5	No more lipstick choice!	I was hesitant placing an order without seeing the actual colors...ordered a trio and fantastic colors...love the lipsticks I chose. I'm a young 72 and extremely fussy!!
Gina T.	5	can even trail ride for	can even trail ride for 4 hrs and it still stays on!
Phyllis N.	5	Applies so smoothly and doesn't	Applies so smoothly and doesn't creep into my age lines around my lips. Great product!
Debbie B.	5	Surfberry...	Love everything about it, getting ready to order another one !
Pamela B.	5	Finally!!!	Beautiful, creamy colors that stay put. I love these lipsticks. I’ll be tossing everything else. Thank you ❤️
Priscilla E.	5	I like how it makes	I like how it makes my lips feels refresh
Lavonda R.	5	Warrior	Received in timely manner. Love this lipstick! It does not bleed into fine lines.
Nancy D.	5	Creamy and smooth	Love the lipstick. Love this color.
Diane H.	5	Cashmere - Protect the Kittens	Love, love, love the Cashmere! Perfect natural shade & just what I have been looking for. I ordered two tubes, hoping the color would be what I wanted. It was. Perfect for me! Plus, we have kitties, so I liked the Protect the Kittens theme! Thank you. I will be continuing to order as I need.
Cheryl J.	5	Best ever	Love love love this lipstick. You won’t go wrong buying any color of this lipstick. Goes on smooth and lasts
Diana K.	5	Love it!	I've only used 1 of the 3 colors I bought, but it truly lives up to the product description! I'm 70 and appreciate that it doesn't bleed into any fine lines around my lips. I love the feel of it , you can barely tell you have any on!
Ana P.	5	I love the color and	I love the color and the smoothness.
Deborah H.	5	Great Cause Lipsticks	Color The World Lipsticks are wonderful. They are soft and sheer and also cruelty free. I really admire this company, because not only are the products well made but are giving back a portion to such amazing causes. WE need more companies like this one. Thank you !
Margaret F.	5	Smooth and Pretty	I have been using for a short time, yet I am impressed. It glides on smoothly and does not seem or feel sticky. I would definitely purchase again.
Elizabeth Z.	5	Hello, I am make up	Hello, I am make up artist.I been working mostly with French cosmetics.  Your lipstick is so exellent, as a color/tickled pink\and quality. Not a bit worse, than prestigious French lines. I should say, even better. Congrats guys for a such great products.I wish you the best.I will be your customer forever. Sincerely Elizabeth
Candler L.	5	Color beautiful.	Color beautiful.
Barbara R.	5	Love this lipstick and the	Love this lipstick and the fast delivery.
Monica S.	5	Love this lipstick!	Just love this lipstick. Perfect color and stays on.
Dorothy S.	5	Wonderful color!!!	Love the way it looks on me.
Lisa M.	5	Awesome!	Awesome!
Mary L.	5	Very nice!	I love my vegan lip treatment! Thank you very much!!
Janet H.	5	Moisturizing and won't dry out!	I love this color and the fact that it won't dry my lips out, it rather moisturizes them. I've been looking for a lipstick like this for a long time so my search is over! And thanks for helping a good cause while we're at it. :)
Debra L.	5	Beautiful color!	Beautiful color!
Lisa M.	5	Beautiful	This is great lip treatment. I have never tried anything Vegan but this product really works well. Stays on for several hrs too! Thank you!
Patricia G.	5	Wonderful product!	I love your lipsticks! They don’t bleed or wear off. Glad I found you. Will certainly recommend you to my friends.
Jean V.	5	Strong women pack	Really like the lipstick, colors are very nice. Like the bright flowered cases.
Rebecca R.	5	I love this lipstick!	For years I have bought different brands of lipstick, never really loyal to any, but now I have found a brand I am sticking with! And a plus, helping contribute to causes all over the world. The color, consistency, and perfect application of Color the World lipsticks is excellent.
Liz H.	5	Beautiful	I love my new lipstick! The color is exactly what I anticipated. It feels very nourishing on my lips and lasts a long time. It’s beautiful.... love it.
Steve H.	5	Great color	Stays true to color. Not as ling as I had hoped but good enough to buy it again!
Janet S.	5	If you're aging or have lip lines...You need this lipstick!	Seriously, it doesn't feather into my aging ex-smoker lip lines. I didn't believe it...then I tryed it...I'm hooked, coming back for more colors. It can't hurt to try it and you're helping a cause. Only wish they made lip liners.
Lizbeth M.	5	Smooth application	Loved this lip treatment. Nice and smooth application on lips that are dry and cracked. Touch of mint is perfect
Anne H.	5	Kisses	Great lipstick! Love the color. The texture is creamy. It seems to stay on for a long time
Helen L.	5	Not greasy	Super treatment, alone or under lipstick without that greasy feeling
Karen L.	5	I am really happy Huntress	This color is lovely. It is just the right shade for summer wearing. I'm really pleased.
Teresa M.	5	Juuussst Riighhtt!	I am going to love these lipsticks.... just the right amount of color for me ..very glad I bought all three!
Mary J.	5	This is really nice lipstick.	This is really nice lipstick. The colors are subtle and it feels good to wear.
Kirsten N.	5	Great formula and colors!	I'm very pale and have dark hair, and these colors all look great! They last much longer than my Mac favorites, and are a tiny bit drying, but not at all like most other long-wearing options. Also, I'm very sensitive to "flavor" of lip products, intentional or not. This one is kind of the traditional makeup scent/flavor but very mild. It's the only thing I'd change but since I'm not actually eating it, not a big deal. :) I'm looking forward to getting more of these for myself and my daughter.
Evelyn B.	5	Love the colors	Love the lipstick!
Kim R.	5	Very smooth, soothing, and moisturizing.	Very smooth, soothing, and moisturizing.
Lori S.	5	I have had a hard	I have had a hard time finding a lipstick that I really like and works for my skin tone. I loved that the website helped me with that! Love the way it looks and feels.
Marsha P.	5	The BEST Lipsticks I've used!	I love this color and all the others I've purchased since I found COLOR THE WORLD. My lips look great and feel great - without any feathering and the color lasts.
Mary h.	5	Mint To Be	Beautifully packaged! Lived the creaminess on my lips. Loved the mild mint flavor.
Daughn P.	5	perfect colors for redheads	All four colors I ordered are perfect for the fall as well as anyone having a fair complexion and auburn hair. Revolutionary is a beautiful warm reddish brown color. Customer service is first rate.
Beth E.	5	Lipstick with a Cause	This is my first purchase from your company. I like that your product is connected to a cause. I bought the Huntress and it is a nice subtle everyday shade. Meantime, it keeps to its promise and does not feather. So, I will be purchasing more lipsticks from you in the future.
Elisa M.	5	Love!	Great color. So smooth and creamy it -makes my lips feel fabulous
Wendy W.	5	Love it!!	I really love this color and love how long it lasts and doesn't feather!
Peggy S.	5	Huntress - 'Give a dog a forever home'	Fabulous lipstick! So creamy and smooth. This color is perfect for everyday wear. This was my first purchase and I will definitely be ordering additional colors!
Sammi T.	5	I love the color I	I love the color I picked, stays on all day, doesn't come off on my clothes. I picked 3 colors but only one works for me the other colors are to light.
Myra M.	5	Strong Women Pack	A great trio of very lovely shades for every occasion!
Lorrie P.	5	Awesome	I get a lot of compliments
Jane H.	5	pretty	Great color!
Roxanne C.	5	Awesome buy!	I love my new lipsticks. The colors were true to what they appeared in the tube, easy to apply and left a luxurious feel. Highly recommend to others
Sharon T.	5	Gorgeous	It is a lovely shade for spring and summer!
Nancy l.	5	Lovelips	I love this bundle. Great colors, GNO my favorite!
Cynthia L.	5	Love Coral Reef	I’m on my third tube of Coral Reef. It’s the perfect color of coral and you can top it off with a lip gloss to brighten or soften the color. Definitely my go to lipstick!!
Joyce F.	5	Beautiful colors	I love the colors and the lipstick goes on so smooth! I like, but not overjoyed, with the tube-wish it had a clear top so that I can see the color without opening...did I mention that I, like many seniors, experience macular degeneration and cannot read the printed color on bottom of tube? Iregardless, love this liostick!!
Gail G.	5	Another Win!!	These lipsticks are so creamy and go on smoothly. The colors are rich, not stark. I just love the packaging of them too. So pretty.
Cheryl B.	5	Love It	I enjoy putting it on every time I head outside into the sun.
Jo D.	5	AT LAST!!!	Finally a lipstick that is wonderful for many reasons….. 1. The colors are perfect. The sorting of cool and warm skin tones skin is an excellent feature for choosing the right color. 2. Lipsticks stays on after many hours. 3. The cases are made of paper not plastic. It makes my makeup pouch with all my “must carry items” lighter. Different cases for different colors makes identifying the right lipstick. I carry more than one lipstick. 4. Lots of great causes to support.
Cynthia H.	5	Very pretty	Great packaging (eco friendly) and a quality product. Keeps my lips soft and moist. I'm impressed with their "give something back" approach.
Margaret E.	5	It's true!	Everything they say about this 💄is true. Beautiful color and no feathering. I just received my second one. I have cool undertones and really appreciate the color guide.
Sally B.	5	Fabulous lipstick	I have really enjoyed these vegan lipsticks I bought. The colors are exactly what I wanted ( they make my teeth look whiter!). I've seen no feathering, and my lips are feeling softer. I highly recommend them.
Tamarra H.	5	My Favorite!!	I have 9 different colors of these lipsticks and they’re all great, but Pretty N Pink is the best for me. The color doesn’t change and it lasts!
Michelle S.	5	Smooth and creamy	I love the look and feel of this lipstick! Color stays and my lips are soft and smooth.
Mary S.	5	Love this lipstick	Love this shade - exactly what I was looking for. Color goes on smoothly, has no taste - and it really doesn't bleed! Would buy another lipstick.
Carole V.	5	Great color! Very smooth, soft	Great color! Very smooth, soft and hydrating for my lips. Would buy again!
Barb M.	5	Huntress -,Give a dog a forever home	I love the lipstick and Love that someone is doing this . I am also glad that you are doing something like this. I wish more people would do this.
Sharon M.	5	Pretty n Pink, Rosegold lipstick	I have been searching for years, and throwing away money, to find a lipstick that doesn't bleed and is moisturizing. Seems an impossible combination! I am beyond happy with my purchases of lipsticks. It will be my go to from now on. Of course it is wonderful that this company is charitable in dealing with many urgent needs.
Joan D.	5	This color is so pretty	This color is so pretty and it is very moisturizing. I love this lipstick.
Ana P.	5	I love your lipsticks	I love your lipsticks
Gayle H.	5	Great nude color!	Love both colors I purchased. Formula is creamy, lasts a while. Would definitely recommend this brand.
Ashley A.	5	Feels good on, doesn’t dry	Feels good on, doesn’t dry out my lips. But the dragon fruit is much more bubblegum pink in person.
Glenda E.	5	I love the lipstick it	I love the lipstick it does run into month wrinkles and is not too bright . I love the color l got! I would highly recommend to anyone!
Jean T.	5	Dreamer Lipstick	Quality of the lipstick is awesome. I allpied and went out in the heat of the day and felt like I had nothing on my lips. It did not cake up and was very natural. Best lipstick I have ever wore. Would tell others about it. Thank You
Madeleine Z.	5	Beautiful Color	Perfect for summer, my go to color for everyday!
Barbara M.	5	Hot lips.	Was glad to see the more earth friendly packaging and thus far I'm delighted with the lip balm and the lipstick. The color is perfect.
Margie M.	5	Lush * Supple * Magnificent Color * Soft Lips * NO Feathering!	Finally a lipstick that REALLY doesn’t feather. I’d been using lip stains because all the lipsticks I’d tried that said they didn’t feather..actually did. :( But this one really stays put! Love the pretty cases and ecologically minded, social giving approach. Service is excellent as well! Hope they’ll be coming out with more products (i.e. make up) soon!
Beth P.	5	Casemere great product	Creamy texture, when applying puts on a full coat of lipstick and stays on all day. Love it.
Bette N.	5	Perfect	Just the right color. My friends are asking where I got it
Diane Y.	5	The color is beautiful &	The color is beautiful & I love helping a good cause too.
Monica Z.	5	Grateful Warrior	Thumbs-up all around for this new lipstick! Smooth application with long-lasting results & beautiful color! I appreciate that each purchase helps a specific charity & the price point is perfect! The packaging is a fun bonus too! I will definitely be ordering more!
Diane H.	5	adore	adore
Lisa M.	5	Love my lips!	Lipstick is wonderful! Love the color and the feel and stays on a long time. Thank you!
Gina W.	5	Lipstick	Absolutely love! No feathering!
Donna L.	5	Love it!	Dreamer is a beautiful color that would look good on just about everyone!!!
Deborah S.	5	Irresistible	This lipstick is just that, irresistible. I ordered five lipsticks and love them all, then shortly after ordered three more! I now have a nice collection and plan to continue to buy from Color the World. Thank you.
Mary	5	Great lipstick	For decades I’ve looked for moisturizing lipstick that is not too dark and not too bright and in-your-face, and here they are. These 3 shades are very pretty and are rather natural colors. Empowered is the darkest of the 3 but even I will wear it. You do need to reapply after eating or after few hours.
Lisa b.	5	Surfberry	I really love this lip color. It didn't disappoint. Love all the colors and the feel on my lips.
Diane Y.	5	The color is beautiful &	The color is beautiful & I love helping a good cause too.
Doris H.	5	Strong woman pack	I ordered the Strong woman pack & it came surprisingly quick. I loved all three colors. It feels great on my lips, Goes on smoothly & stays on forever. Be sure to get the "Ment To Be" Vegan Lip Treatment . You won't be sorry.  I will be ordering more colors soon. Love it! Doris Helms Marietta Georgia. 30127
Barbara H.	5	Creamy smooth! I really like	Creamy smooth! I really like this lipstick!
Melanie F.	5	LOVE!	I originally bought this lipstick because I got a good deal, but after trying it I love it! It's so smooth and velvety and actually lasts for awhile! Will definitely be buying another!
Kathy M.	5	Love these!	Creamy!
Karen E.	5	Lovely color	Looking for an everyday lipstick and this works perfect. It's a beautiful color. I love the lipstick from Color my world! Since trying them, they are the only ones I use now. Plus they help allot of organizations.
Joy R.	5	Love it!	I ordered the neutrals bundle and I love every color, but more than that, I love how smooth and supple the lipsticks feel on my lips. The texture minimizes lines around my mouth and it stays in place. The colors are beautiful and soft and just the right level. I want more!
Christine R.	5	Warrior	I love the color and how smooth it goes on. Received several complements on it. Also like the fact it benefits the DAV. Also like Kisses and Mint to be. Will be ordering more.
Deborah A.	5	Independent	Great color & & long-lasting. Will purchase other colors.
Debbie R.	5	LOVE IT!	I never wear lipstick because it always balls up on my lips and smears. I took a chance on ordering this lipstick. I absolutely love it! Not only does it not ball up, it doesn't smear, AND it is very moisturizing! Triple plus!!! I am also elated a portion of the money goes to a good cause.
Evelyn B.	5	Love the colors	love the lipstick!
Brenda P.	5	Beautiful	The color and feel is perfection for our hot summer days.
Theresa M.	5	Soothing	I’ve been using this at bedtime and my lips have never felt so healthy. It also feels so soothing. I’m really enjoying these products so far.
Kathie M.	5	Love it!	Great lipstick...really stays put! No feathering into lines!
Marilyn H.	5	A Wonderful Product!	These lipsticks are wonderful for this 71-year -old! What a bonus that they are so pure. I have officially thrown out all my old lipsticks and balms and will buy nothing but these from now on! Thank you!
Deb G.	5	Flawless Lipstick	I love the lipstick - wish I could find in store as all of the colors except one were lighter than I wear so I will have to donate them. But the actual lipstick is fabulous.
Michelle B.	5	Lovely Lipstick	I really like these lipsticks, now have three colors, they are long lasting and very wearable...
Randa B.	5	Glamberry	I love the product. The color was just right also.
Elisa M.	5	Gorgeous	What a beautiful color. Goes with everything and brightens my face! I received so many compliments.
Cathy W.	5	Soft, Sweet, Sexy Lips	This Color The World Lipstick is so creamy and smooth and stays on for hours with no feathering that us older gals sometimes get. A great collection of beautiful colors to choose from is terrific too. I love this line of lipsticks and recommend it to others.
Teri M.	5	Truly "Flawless"	This is a great lipstick, especially for those over 50! It does not creep into those fine lines around the mouth and stays on forever. Love it!
Barbara P.	5	Color is spot on!	Product is as advertised but I was especially pleased that the color was just as shown on the website.
Gwen B.	5	Mint to be vegan lip treatment	This lip treatment is wonderful! It goes on easily and feels so good. I would heartily recommend it to anyone as it is very beneficial for dry lips! G
Carol P.	5	Great color	Finally I found my perfect shade with shimmer. Love this color. I have white hair and olive skin. Will buy more.
Patricia N.	5	Great lipstick	I really like your lipstick. It feels so good going on & soft to your lips. Colors are good & stays on well. Glad I bought it!
Kathy L.	5	review	these are very nice lipsticks the colors are wonderful and the texture is great
Jeanie P.	5	Great color	A very beautiful pink color. For day time when you want just a little color on your lips.
Karen B.	5	Thank You!	I love this trio! I will be ordering from you again!
Suzanne D.	5	Back for more	I love this creamy lip conditioner so much that I bought one for my friend!
